ticker,company_name,sector,market_cap,total_debt,equity_volatility,lgd,last_updated,data_source
FTNT,"Fortinet, Inc.",Technology,116249321472.0,496800000.0,0.46362,0.35,2026-07-08,yfinance
NET,"Cloudflare, Inc.",Technology,95418392576.0,3524536000.0,0.620388,0.35,2026-07-08,yfinance
DDOG,"Datadog, Inc.",Technology,91414134784.0,1285052000.0,0.617701,0.35,2026-07-08,yfinance
ZS,"Zscaler, Inc.",Technology,24175572992.0,1861184000.0,0.637847,0.35,2026-07-08,yfinance
TEAM,Atlassian Corporation,Technology,22430539776.0,1243018000.0,0.638681,0.35,2026-07-08,yfinance
HUBS,"HubSpot, Inc.",Technology,10504333312.0,247291000.0,0.653115,0.35,2026-07-08,yfinance
WDAY,"Workday, Inc.",Technology,35477737472.0,3805000000.0,0.462475,0.35,2026-07-08,yfinance
SNOW,Snowflake Inc.,Technology,91065679872.0,2772095000.0,0.631758,0.35,2026-07-08,yfinance
PLTR,Palantir Technologies Inc.,Technology,322126807040.0,211977000.0,0.519626,0.35,2026-07-08,yfinance
APP,AppLovin Corporation,Communication Services,177369333760.0,3514022000.0,0.734764,0.4,2026-07-08,yfinance
UBER,"Uber Technologies, Inc.",Technology,151306076160.0,12419000000.0,0.33692,0.35,2026-07-08,yfinance
LYFT,"Lyft, Inc.",Technology,5862298112.0,1256349000.0,0.510813,0.35,2026-07-08,yfinance
ABNB,"Airbnb, Inc.",Consumer Cyclical,88313528320.0,2534000000.0,0.29983,0.4,2026-07-08,yfinance
DASH,"DoorDash, Inc.",Consumer Cyclical,85278867456.0,3287000000.0,0.467999,0.4,2026-07-08,yfinance
SPOT,Spotify Technology S.A.,Communication Services,101566029824.0,476000000.0,0.451649,0.4,2026-07-08,yfinance
RBLX,Roblox Corporation,Communication Services,40603152384.0,1788000000.0,0.641379,0.4,2026-07-08,yfinance
U,Unity Software Inc.,Technology,12947628032.0,2236370000.0,0.76293,0.35,2026-07-08,yfinance
HOOD,"Robinhood Markets, Inc.",Financial Services,101667028992.0,13387000000.0,0.692072,0.55,2026-07-08,yfinance
COIN,"Coinbase Global, Inc.",Financial Services,43078467584.0,7964423000.0,0.680352,0.55,2026-07-08,yfinance
MSTR,Strategy Inc,Technology,34832343040.0,8257385000.0,0.741708,0.35,2026-07-08,yfinance
BRK-B,Berkshire Hathaway Inc.,Financial Services,1087054282752.0,128886000000.0,0.144765,0.55,2026-07-08,yfinance
V,Visa Inc.,Financial Services,669794172928.0,23976000000.0,0.216229,0.55,2026-07-08,yfinance
MA,Mastercard Incorporated,Financial Services,469730852864.0,18960000000.0,0.216232,0.55,2026-07-08,yfinance
AXP,American Express Company,Financial Services,238527676416.0,60442000000.0,0.264721,0.55,2026-07-08,yfinance
BLK,"BlackRock, Inc.",Financial Services,164135665664.0,14965000000.0,0.264835,0.55,2026-07-08,yfinance
SCHW,The Charles Schwab Corporation,Financial Services,177270079488.0,33069000000.0,0.255395,0.55,2026-07-08,yfinance
USB,U.S. Bancorp,Financial Services,97965744128.0,79220000000.0,0.223535,0.55,2026-07-08,yfinance
PNC,"The PNC Financial Services Group, Inc.",Financial Services,102001434624.0,66666000000.0,0.217438,0.55,2026-07-08,yfinance
TFC,Truist Financial Corporation,Financial Services,63988363264.0,69063000000.0,0.23935,0.55,2026-07-08,yfinance
COF,Capital One Financial Corporation,Financial Services,124984188928.0,51262000000.0,0.317485,0.55,2026-07-08,yfinance
SYF,Synchrony Financial,Financial Services,25402679296.0,16428000000.0,0.29829,0.55,2026-07-08,yfinance
AIG,"American International Group, Inc.",Financial Services,42978512896.0,9156000000.0,0.24029,0.55,2026-07-08,yfinance
MET,"MetLife, Inc.",Financial Services,58983849984.0,21130000000.0,0.241062,0.55,2026-07-08,yfinance
PRU,"Prudential Financial, Inc.",Financial Services,40105631744.0,23111000000.0,0.229949,0.55,2026-07-08,yfinance
ALL,The Allstate Corporation,Financial Services,64731066368.0,7491000000.0,0.2386,0.55,2026-07-08,yfinance
TRV,"The Travelers Companies, Inc.",Financial Services,73092358144.0,9268000000.0,0.183279,0.55,2026-07-08,yfinance
PGR,The Progressive Corporation,Financial Services,136467677184.0,8386000000.0,0.233654,0.55,2026-07-08,yfinance
CB,Chubb Limited,Financial Services,139358126080.0,17470000000.0,0.180754,0.55,2026-07-08,yfinance
MMC,Marsh & McLennan Companies,Financial Services,98000000000.0,12000000000.0,0.195,0.55,2026-04-21,cached — fetch failed 2026-07-08
AON,Aon plc,Financial Services,76849258496.0,15474000000.0,0.250821,0.55,2026-07-08,yfinance
ICE,"Intercontinental Exchange, Inc.",Financial Services,77164183552.0,20985000000.0,0.239039,0.55,2026-07-08,yfinance
CME,CME Group Inc.,Financial Services,86988455936.0,3423200000.0,0.226692,0.55,2026-07-08,yfinance
SPGI,S&P Global Inc.,Financial Services,131264159744.0,13776000000.0,0.302605,0.55,2026-07-08,yfinance
MCO,Moody's Corporation,Financial Services,87423803392.0,7313000000.0,0.274438,0.55,2026-07-08,yfinance
MSCI,MSCI Inc.,Financial Services,44224921600.0,6547700000.0,0.298453,0.55,2026-07-08,yfinance
FIS,"Fidelity National Information Services, Inc.",Technology,22019049472.0,21146000000.0,0.315669,0.35,2026-07-08,yfinance
GPN,Global Payments Inc.,Industrials,21224241152.0,23577104000.0,0.397157,0.4,2026-07-08,yfinance
WEX,WEX Inc.,Technology,5309079552.0,5237100000.0,0.391129,0.35,2026-07-08,yfinance
UNH,UnitedHealth Group Incorporated,Healthcare,388858347520.0,77917000000.0,0.406005,0.35,2026-07-08,yfinance
LLY,Eli Lilly and Company,Healthcare,1101800013824.0,43370000000.0,0.388575,0.35,2026-07-08,yfinance
ABBV,AbbVie Inc.,Healthcare,449913782272.0,72858000000.0,0.258784,0.35,2026-07-08,yfinance
MRK,"Merck & Co., Inc.",Healthcare,318261592064.0,49117000000.0,0.277259,0.35,2026-07-08,yfinance
PFE,Pfizer Inc.,Healthcare,137185624064.0,63730000000.0,0.242138,0.35,2026-07-08,yfinance
